conglome,vivienda,hogar,codperso,ing_laboral,internet,uso_avanzado,joven,mujer
015054,012,11,01,8016,1,0,0,0
015054,012,11,03,16928,1,1,0,0
015054,124,11,03,9571,1,1,1,1
015054,144,11,02,12951,1,0,1,1
015054,161,11,01,9032,1,1,1,1
015055,017,11,01,6613,1,1,0,1
015055,037,11,02,13285,1,1,1,0
015055,096,22,01,8055,1,1,0,0
015056,013,11,01,3872,1,1,0,0
015056,028,11,02,2662,1,0,0,1
015056,042,11,03,7743,1,0,1,0
015056,101,11,02,15714.48,1,1,1,0
015056,130,11,01,4840,1,0,0,0
015057,044,11,01,26451,1,1,0,0
015057,137,11,01,16039,1,1,0,0
015058,068,11,01,13978,1,1,1,0
015058,068,11,02,2169,1,0,0,1
015059,066,11,01,20755,1,1,0,0
015060,073,11,01,11863,1,1,0,0
015061,046,11,03,16018,1,1,1,1
015061,088,11,01,7491,1,1,0,0
015061,088,11,02,17080,1,1,0,1
015061,130,11,01,12166,1,1,0,0
015061,130,11,02,30744,1,1,0,1
015062,014,11,03,12818,1,1,1,1
015062,071,11,01,2396,1,1,0,0
015063,018,11,01,14612,1,1,0,1
015063,037,11,01,5706,1,0,0,0
015063,122,11,02,14006,1,1,1,0
015064,003,11,01,4224,1,0,0,1
015064,089,11,02,4224,1,0,0,0
015065,008,11,01,8555,1,1,1,1
015065,025,11,01,10483,1,1,0,1
015065,059,11,01,13978,1,1,0,0
015065,076,13,01,14145,1,1,0,0
015065,076,23,01,4519,1,1,0,1
015065,076,33,01,17171,1,1,1,0
015065,076,33,02,9430,1,1,0,1
015065,094,12,01,8073,1,1,1,0
015066,049,11,04,10110,1,1,1,0
015066,072,11,05,4307,1,0,0,1
015067,006,11,01,12825,1,0,0,0
015067,036,11,01,11027,1,1,1,0
015067,066,11,01,13904,1,1,1,0
015067,078,11,01,7014,1,1,0,1
015068,012,11,01,1936,1,0,0,0
015068,012,11,02,10526,1,1,0,1
015068,067,11,02,7316,1,1,0,0
015068,094,11,03,5626,1,1,1,0
015069,059,11,01,8053,1,1,0,1
015070,008,11,01,22166,1,1,0,1
015070,008,11,02,19237,1,1,0,0
015070,028,11,01,6247,1,0,0,0
015070,068,11,02,18081,1,1,0,1
015070,108,11,01,18021,1,1,0,1
015070,108,11,02,30035,1,1,0,0
015070,128,11,01,22386,1,1,1,0
015070,128,11,02,2863,1,0,1,1
015071,084,11,03,11396,1,1,1,0
015071,131,11,01,9706,1,1,0,0
015072,002,11,01,23600,1,1,0,1
015072,002,11,02,28092,1,1,0,0
015072,048,11,01,8506,1,1,0,0
015072,048,11,04,10662,1,1,1,0
015072,065,11,03,12818,1,1,1,0
