conglome,vivienda,hogar,codperso,edad,ing_laboral,internet,uso_avanzado,horas_semanales,edad2,mujer
015038,002,12,01,59,27687,1,1,40,3481,0
015038,002,12,02,53,29006,1,1,30,2809,1
015038,002,22,01,31,29964,1,1,30,961,1
015038,020,11,01,37,16181,1,1,52,1369,0
015038,020,11,02,36,29425,1,1,65,1296,1
015038,055,11,02,57,7014,1,0,27,3249,0
015038,090,11,01,43,5214,1,1,46,1849,0
015038,090,11,02,43,32002,1,1,40,1849,1
015038,108,11,01,51,35957,1,1,50,2601,0
015038,108,11,02,54,14023,1,1,42,2916,1
015038,108,11,03,22,21335,1,1,45,484,0
015038,126,11,03,43,17080,1,1,48,1849,0
015038,126,11,04,38,23972,1,1,33,1444,1
015039,070,11,01,35,11024,1,1,32,1225,1
015040,046,12,01,50,23316,1,1,40,2500,0
015040,046,12,03,28,14339,1,1,40,784,1
015040,110,11,01,37,18598,1,1,51,1369,0
015040,132,11,01,34,6145,1,1,43,1156,1
015041,004,11,03,25,21401,1,1,64,625,0
015041,028,11,02,54,7214,1,0,74,2916,1
015041,028,11,03,25,4809,1,1,20,625,0
015041,049,11,01,44,6011,1,1,60,1936,0
015041,049,11,02,36,3727,1,1,24,1296,1
015041,096,11,01,39,10700,1,1,48,1521,0
015041,096,11,02,28,6432,1,1,54,784,1
015041,141,11,01,54,5410,1,1,54,2916,0
015042,019,11,01,68,4315,1,0,54,4624,0
015042,039,11,01,41,5715,1,1,84,1681,1
015042,140,11,01,52,37336,1,1,40,2704,0
015044,002,11,03,65,9137,1,1,40,4225,0
015044,073,11,01,43,4268,1,1,30,1849,1
015045,008,11,01,32,5749,1,1,66,1024,1
015045,018,11,01,38,14006,1,1,48,1444,0
015045,018,11,02,32,3593,1,1,47,1024,1
015045,029,11,01,35,11150,1,1,63,1225,0
015045,029,11,02,35,35636,1,1,54,1225,1
015045,059,11,01,35,19448,1,1,46,1225,0
015045,069,11,01,60,7426,0,0,70,3600,0
015046,002,11,01,41,10452,1,1,60,1681,1
015046,110,11,01,53,21445,1,1,35,2809,1
015048,002,11,01,41,41560,1,1,40,1681,0
015048,002,11,02,32,11978,1,1,40,1024,1
015048,015,22,02,24,7316,1,1,40,576,1
015048,051,11,02,33,5203,1,1,48,1089,0
015048,099,11,01,30,15789,1,1,48,900,0
015049,002,11,01,47,1196,1,0,91,2209,0
015049,012,11,01,30,13987,1,1,40,900,0
015049,017,11,01,43,16060,1,1,56,1849,0
015049,024,11,02,63,2849,1,0,24,3969,1
015049,032,11,01,69,6820,1,0,32,4761,0
015050,074,11,02,33,11782,1,1,36,1089,1
015050,097,11,01,38,33724,1,1,30,1444,1
015050,097,11,02,43,29336,1,1,30,1849,0
015050,142,11,01,52,12804,1,1,54,2704,1
015050,188,11,01,25,8777,1,1,66,625,0
015050,188,11,02,23,11903,1,1,51,529,1
015051,040,11,01,51,9871,1,1,48,2601,0
015051,040,11,03,24,1818,1,1,22,576,1
015051,090,11,01,64,14028,1,0,53,4096,0
015051,106,11,01,37,5975,1,0,32,1369,0
015051,123,11,01,38,959,1,0,73,1444,0
015052,012,11,01,37,7072,1,0,40,1369,0
015052,023,11,01,66,17171,1,1,60,4356,0
015052,053,11,02,43,5543,1,1,59,1849,0
015052,064,11,01,35,13978,1,1,56,1225,1
015053,060,11,02,64,4072,1,1,52,4096,1
015053,106,11,01,35,12037,1,1,40,1225,0
015053,106,11,02,27,15990,1,1,40,729,1
015054,012,11,01,64,8016,1,0,16,4096,0
015054,012,11,03,34,16928,1,1,54,1156,0
015054,144,11,02,24,12951,1,0,82,576,1
015054,161,11,01,25,9032,1,1,48,625,1
015055,017,11,01,56,6613,1,1,54,3136,1
015055,037,11,02,21,13285,1,1,56,441,0
015055,096,22,01,43,8055,1,1,48,1849,0
015056,013,11,01,44,3872,1,1,60,1936,0
015056,028,11,02,48,2662,1,0,56,2304,1
015056,042,11,03,26,7743,1,0,48,676,0
015056,101,11,02,29,15714.48,1,1,56,841,0
015056,130,11,01,42,4840,1,0,48,1764,0
015057,044,11,01,35,26451,1,1,40,1225,0
015057,137,11,01,57,16039,1,1,40,3249,0
015058,068,11,01,30,13978,1,1,72,900,0
015058,068,11,02,61,2169,1,0,40,3721,1
015059,066,11,01,44,20755,1,1,48,1936,0
015060,073,11,01,52,11863,1,1,49,2704,0
015061,046,11,03,29,16018,1,1,45,841,1
015061,088,11,01,51,7491,1,1,61,2601,0
015061,088,11,02,49,17080,1,1,30,2401,1
015061,130,11,01,39,12166,1,1,60,1521,0
015061,130,11,02,45,30744,1,1,30,2025,1
015062,014,11,03,23,12818,1,1,8,529,1
015062,071,11,01,47,2396,1,1,48,2209,0
015063,018,11,01,61,14612,1,1,36,3721,1
015063,037,11,01,60,5706,1,0,24,3600,0
015064,003,11,01,65,4224,1,0,46,4225,1
015064,089,11,02,42,4224,1,0,76,1764,0
015065,008,11,01,26,8555,1,1,60,676,1
015065,025,11,01,44,10483,1,1,60,1936,1
015065,059,11,01,40,13978,1,1,42,1600,0
015065,076,13,01,38,14145,1,1,74,1444,0
015065,076,23,01,36,4519,1,1,32,1296,1
015065,076,33,01,30,17171,1,1,84,900,0
015065,076,33,02,32,9430,1,1,44,1024,1
015065,094,12,01,22,8073,1,1,32,484,0
015066,049,11,04,22,10110,1,1,44,484,0
015066,072,11,05,64,4307,1,0,48,4096,1
015067,006,11,01,52,12825,1,0,60,2704,0
015067,036,11,01,27,11027,1,1,40,729,0
015067,066,11,01,21,13904,1,1,58,441,0
015067,078,11,01,33,7014,1,1,28,1089,1
015068,012,11,01,43,1936,1,0,38,1849,0
015068,012,11,02,36,10526,1,1,66,1296,1
015068,067,11,02,55,7316,1,1,56,3025,0
015068,094,11,03,21,5626,1,1,50,441,0
015069,059,11,01,69,8053,1,1,84,4761,1
015070,008,11,01,57,22166,1,1,112,3249,1
015070,008,11,02,34,19237,1,1,54,1156,0
015070,028,11,01,61,6247,1,0,48,3721,0
015070,068,11,02,38,18081,1,1,22,1444,1
015070,108,11,01,51,18021,1,1,84,2601,1
015070,108,11,02,57,30035,1,1,63,3249,0
015070,128,11,01,30,22386,1,1,46,900,0
015070,128,11,02,26,2863,1,0,36,676,1
015071,084,11,03,21,11396,1,1,46,441,0
015071,131,11,01,63,9706,1,1,40,3969,0
015072,002,11,01,53,23600,1,1,54,2809,1
015072,002,11,02,52,28092,1,1,40,2704,0
015072,048,11,01,63,8506,1,1,70,3969,0
015072,048,11,04,27,10662,1,1,82,729,0
015072,065,11,03,28,12818,1,1,46,784,0
015072,065,11,05,25,8302,1,1,48,625,0
015072,081,11,01,46,7487,1,1,52,2116,1
015072,098,11,01,58,4253,1,1,40,3364,1
015073,015,11,02,37,4187,0,0,24,1369,0
015073,130,11,01,42,11138,1,1,48,1764,0
015074,004,11,01,65,3607,1,1,66,4225,0
015074,018,11,01,42,26751,1,1,40,1764,0
015074,018,11,02,43,50977,1,1,37,1849,1
015074,018,11,03,39,42802,1,1,40,1521,1
015074,059,11,01,66,11418,1,0,47,4356,0
015074,059,11,03,23,1803,1,1,31,529,0
015074,088,11,01,47,4671,1,1,20,2209,0
015074,088,11,02,37,1046,1,1,56,1369,1
015075,046,11,02,41,7003,1,0,42,1681,0
015076,102,11,03,23,20902,1,1,66,529,0
015076,129,11,01,42,7055,1,0,48,1764,1
015076,142,11,05,23,1452,1,1,48,529,0
015076,153,11,03,20,847,1,1,40,400,0
015077,056,11,01,34,5154,1,1,55,1156,1
015077,170,11,01,38,39315,1,1,43,1444,1
015077,172,11,01,61,721,1,0,50,3721,0
015078,038,11,01,55,3862,0,0,35,3025,0
015078,047,11,01,45,22369,1,0,49,2025,0
015078,047,11,02,39,4942,1,0,35,1521,1
015079,057,11,01,35,7208,1,1,70,1225,0
015079,058,11,03,25,16723,1,1,52,625,0
015079,058,11,04,21,6007,1,1,28,441,1
015079,130,11,01,27,721,1,1,52,729,0
015079,131,11,01,40,3244,1,1,64,1600,1
015080,037,11,01,43,1446,1,0,54,1849,0
015080,037,11,02,40,2881,1,0,56,1600,1
015080,039,11,01,56,2892,0,0,46,3136,0
015080,039,11,02,42,3253,0,0,56,1764,0
015080,040,11,05,21,7334,1,1,51,441,0
015081,017,11,01,30,5391,1,1,44,900,0
015081,019,11,02,21,13777,1,1,64,441,0
015081,088,11,03,21,3632,1,1,18,441,0
015082,055,11,01,32,6025,1,0,58,1024,0
015082,055,11,02,32,5763,1,0,48,1024,1
015082,057,11,01,31,4217,1,1,56,961,0
015083,013,11,01,45,5330,1,1,17,2025,1
015083,030,11,02,59,26590,1,1,50,3481,1
015083,038,11,01,52,16080,1,0,80,2704,0
015083,049,11,01,51,27129,1,1,45,2601,1
015083,066,11,01,65,5708,0,0,48,4225,0
015084,104,11,01,74,1928,0,0,54,5476,1
015084,106,11,01,41,2169,1,1,43,1681,0
015085,032,11,01,69,2397,1,0,50,4761,1
015085,040,11,01,47,4555,1,1,56,2209,0
015086,013,11,02,24,14028,1,1,56,576,0
015086,034,11,01,46,11170,1,1,50,2116,0
015086,034,11,02,35,9589,1,1,61,1225,1
015087,094,11,01,55,4187,1,0,50,3025,0
015088,012,11,01,28,5807,1,1,51,784,0
015089,029,11,01,47,8149,1,0,50,2209,0
015089,077,11,01,55,2996,1,0,49,3025,0
015089,077,11,02,60,14380,1,1,36,3600,1
015089,088,11,01,67,14380,1,1,62,4489,1
015089,137,11,01,54,8029,1,1,55,2916,0
015089,137,11,02,48,14380,1,1,23,2304,1
015090,029,11,01,72,1629,1,0,41,5184,0
015090,031,11,02,57,1448,1,0,71,3249,1
015090,032,11,01,77,3017,1,1,54,5929,0
015090,077,11,01,39,6427,1,0,41,1521,0
015090,085,11,01,35,4827,1,1,54,1225,0
015091,072,11,02,37,2334,1,0,39,1369,1
015091,150,11,01,60,4791,1,0,55,3600,0
015091,150,11,02,47,4669,1,0,49,2209,1
015093,042,11,02,40,10152,1,1,60,1600,1
015093,067,11,02,43,13936,1,1,61,1849,1
015093,104,11,01,59,14417,1,1,55,3481,0
